requirement_id,source_policy,requirement_text,responsible_entity,deadline,replication_status,replication_evidence_url,replication_evidence_date,replication_notes,paper_appendix_status,agreement_with_paper,discrepancy_reason
EO13859_5a_iv,EO 13859,"Agencies, coordinating with privacy officials, statistical entities, data managers, and other relevant personnel, shall identify barriers or requirements associated with increased access to and use of data and models, including privacy, safety, security, documentation, governance, and related considerations.","Agencies in coordination with privacy officials, statistical entities, data managers, and relevant personnel",No fixed deadline,Unknown / Unable to verify,https://www.federalregister.gov/documents/2019/02/14/2019-02544/maintaining-american-leadership-in-artificial-intelligence,2019-02-14,"The second-pass recoding treated this as an ongoing, internal, or multi-part obligation for which public evidence before the study cutoff was not specific enough to verify completion conservatively.",Unknown,Agree,
EO13859_5a_v,EO 13859,"Agencies shall identify opportunities to use new technologies and best practices to increase access to and usability of open data and models, while exploring appropriate controls on access to sensitive or restricted data and models.",Agencies,No fixed deadline,Unknown / Unable to verify,https://www.federalregister.gov/documents/2019/02/14/2019-02544/maintaining-american-leadership-in-artificial-intelligence,2019-02-14,"The second-pass recoding treated this as an ongoing, internal, or multi-part obligation for which public evidence before the study cutoff was not specific enough to verify completion conservatively.",Unknown,Agree,
EO13859_5b,EO 13859,"The Secretaries of Defense, Commerce, Health and Human Services, and Energy, the NASA Administrator, and the NSF Director shall prioritize the allocation of high-performance computing resources for AI-related applications through discretionary reserves or other mechanisms.","Secretaries of Defense, Commerce, Health and Human Services, and Energy; Administrator of NASA; Director of NSF",No fixed deadline,Unknown / Unable to verify,https://www.nitrd.gov/pubs/Lessons-Learned-Cloud-for-AI-July2022.pdf,2022-07,"Public materials showed progress on AI-related computing access, but the second-pass recode did not find requirement-specific public proof that each named agency had prioritized high-performance computing allocations as directed.",Implemented,Disagree,The second-pass recoding found public evidence of progress on computing access but not clear proof that each named agency had prioritized high-performance computing allocation as the order required.
EO13859_5c,EO 13859,"The NSTC Select Committee on AI, in coordination with GSA, shall submit a report to the President making recommendations on better enabling the use of cloud computing resources for federally funded AI R&D.",NSTC Select Committee on AI in coordination with GSA,Within 180 days of EO,Implemented,https://www.nitrd.gov/pubs/Recommendations-Cloud-AI-RD-Nov2020.pdf,2020-11-17,The required NSTC report on enabling cloud resources for federally funded AI R&D was publicly issued in November 2020.,Implemented,Agree,
EO13859_5d,EO 13859,"The NSTC Select Committee on AI shall provide technical expertise to the American Technology Council on AI and the modernization of Federal technology, data, and digital service delivery.",NSTC Select Committee on AI,No fixed deadline,Unknown / Unable to verify,https://www.federalregister.gov/documents/2019/02/14/2019-02544/maintaining-american-leadership-in-artificial-intelligence,2019-02-14,"The second-pass recoding treated this as an ongoing, internal, or multi-part obligation for which public evidence before the study cutoff was not specific enough to verify completion conservatively.",Unknown,Agree,
EO13859_6a_b,EO 13859,"OMB, coordinating with OSTP, the Domestic Policy Council, the NEC, and other relevant agencies and stakeholders, shall issue a memorandum to guide regulatory and non-regulatory approaches to AI and shall release a draft for public comment before finalizing it.","OMB Director in coordination with OSTP, Domestic Policy Council, NEC, and relevant agencies and stakeholders",Within 180 days of EO,Implemented,https://www.whitehouse.gov/wp-content/uploads/2020/11/M-21-06.pdf,2020-11-17,The original study window included both the public-comment step and the final OMB memorandum on AI regulatory approaches.,Implemented,Agree,
EO13859_6c,EO 13859,Implementing agencies that also have regulatory authorities shall review their authorities and submit plans to OMB to achieve consistency with the OMB memorandum issued under section 6(a).,Implementing agencies with regulatory authorities,Within 180 days of OMB memorandum,Unknown / Unable to verify,https://www.federalregister.gov/documents/2019/02/14/2019-02544/maintaining-american-leadership-in-artificial-intelligence,2019-02-14,"The second-pass recoding treated this as an ongoing, internal, or multi-part obligation for which public evidence before the study cutoff was not specific enough to verify completion conservatively.",Not implemented,Disagree,The second-pass recoding treated the absence of a public artifact as insufficient to prove nonimplementation where the work could have occurred internally.
EO13859_6d,EO 13859,"The Secretary of Commerce, through the NIST Director and with relevant agency participation, shall issue a plan for Federal engagement in the development of AI technical standards and related tools.",Secretary of Commerce through the NIST Director,Within 180 days of EO,Implemented,https://www.nist.gov/artificial-intelligence/plan-federal-engagement-developing-ai-technical-standards-and-related-tools,2022-04-05,NIST publicly released the required plan for federal engagement in AI technical standards and related tools before the original study cutoff.,Implemented,Agree,
EO13859_7a_i_ii,EO 13859,Implementing agencies that provide educational grants shall consider AI as a priority area within existing Federal fellowship and service programs and shall annually communicate plans for doing so to the NSTC Select Committee on AI.,Implementing agencies that provide educational grants,Annually,Unknown / Unable to verify,https://www.federalregister.gov/documents/2019/02/14/2019-02544/maintaining-american-leadership-in-artificial-intelligence,2019-02-14,"The second-pass recoding treated this as an ongoing, internal, or multi-part obligation for which public evidence before the study cutoff was not specific enough to verify completion conservatively.",Unknown,Agree,
EO13859_7b,EO 13859,The NSTC Select Committee on AI shall provide recommendations to the NSTC Committee on STEM Education regarding AI-related educational and workforce development considerations that focus on American citizens.,NSTC Select Committee on AI,Within 90 days of EO,Unknown / Unable to verify,https://www.federalregister.gov/documents/2019/02/14/2019-02544/maintaining-american-leadership-in-artificial-intelligence,2019-02-14,"The second-pass recoding treated this as an ongoing, internal, or multi-part obligation for which public evidence before the study cutoff was not specific enough to verify completion conservatively.",Unknown,Agree,
EO13859_7c,EO 13859,The NSTC Select Committee on AI shall provide technical expertise to the National Council for the American Worker on AI and the American workforce.,NSTC Select Committee on AI,No fixed deadline,Unknown / Unable to verify,https://www.federalregister.gov/documents/2019/02/14/2019-02544/maintaining-american-leadership-in-artificial-intelligence,2019-02-14,"The second-pass recoding treated this as an ongoing, internal, or multi-part obligation for which public evidence before the study cutoff was not specific enough to verify completion conservatively.",Unknown,Agree,
EO13859_8a_b,EO 13859,"The Assistant to the President for National Security Affairs, coordinating with OSTP and relevant agencies, shall organize and submit to the President an action plan to protect the United States advantage in AI and related critical technologies against strategic competitors and adversarial nations.",Assistant to the President for National Security Affairs in coordination with OSTP and recipients of the NSPM,Within 120 days of EO,Unknown / Unable to verify,https://www.federalregister.gov/documents/2019/02/14/2019-02544/maintaining-american-leadership-in-artificial-intelligence,2019-02-14,"The second-pass recoding treated this as an ongoing, internal, or multi-part obligation for which public evidence before the study cutoff was not specific enough to verify completion conservatively.",Unknown,Agree,
EO13859_8c,EO 13859,Agencies that are recipients of the action plan described in section 8(a)-(b) shall implement that action plan.,Agencies that are recipients of the action plan,Within 120 days of EO,Unknown / Unable to verify,https://www.federalregister.gov/documents/2019/02/14/2019-02544/maintaining-american-leadership-in-artificial-intelligence,2019-02-14,"The second-pass recoding treated this as an ongoing, internal, or multi-part obligation for which public evidence before the study cutoff was not specific enough to verify completion conservatively.",Unknown,Agree,
EO13960_2b,EO 13960,"Responsible agencies shall, when considering the design, development, acquisition, and use of AI in Government, be guided by the order's principles in order to foster public trust and remain consistent with law.",Responsible agencies as defined in section 8,No fixed deadline,Unknown / Unable to verify,https://www.federalregister.gov/documents/2020/12/08/2020-27065/promoting-the-use-of-trustworthy-artificial-intelligence-in-the-federal-government,2020-12-08,"The second-pass recoding treated this as an ongoing, internal, or multi-part obligation for which public evidence before the study cutoff was not specific enough to verify completion conservatively.",Unknown,Agree,
EO13960_4a,EO 13960,"To the extent existing OMB policies that address information and information technology design, development, acquisition, and use are consistent with the order's principles and applicable law, those policies shall continue to apply.",OMB and agencies,No fixed deadline,Unknown / Unable to verify,https://www.federalregister.gov/documents/2020/12/08/2020-27065/promoting-the-use-of-trustworthy-artificial-intelligence-in-the-federal-government,2020-12-08,"The second-pass recoding treated this as an ongoing, internal, or multi-part obligation for which public evidence before the study cutoff was not specific enough to verify completion conservatively.",Unknown,Agree,
EO13960_4b,EO 13960,"OMB shall publicly post a roadmap for policy guidance that it intends to create or revise to better support the use of AI in Government, including a schedule for public engagement and finalization where appropriate.",OMB Director in coordination with key stakeholders,Within 180 days of EO,Not implemented,https://www.federalregister.gov/documents/2020/12/08/2020-27065/promoting-the-use-of-trustworthy-artificial-intelligence-in-the-federal-government,2020-12-08,This row required a concrete public posting or guidance deliverable. The second-pass recode did not locate a matching public artifact by the study cutoff.,Not implemented,Agree,
EO13960_4c,EO 13960,"Agencies shall continue to use voluntary consensus standards developed with industry participation where available and appropriate, and OMB shall take such standards into account when revising or developing AI guidance.",Agencies and OMB,No fixed deadline,Unknown / Unable to verify,https://www.federalregister.gov/documents/2020/12/08/2020-27065/promoting-the-use-of-trustworthy-artificial-intelligence-in-the-federal-government,2020-12-08,"The second-pass recoding treated this as an ongoing, internal, or multi-part obligation for which public evidence before the study cutoff was not specific enough to verify completion conservatively.",Unknown,Agree,
EO13960_5a,EO 13960,"The CIO Council, coordinating with relevant interagency bodies, shall identify, provide guidance on, and make publicly available the criteria, format, and mechanisms for agency inventories of non-classified and non-sensitive AI use cases.",Federal CIO Council in coordination with interagency bodies,Within 60 days of EO,Implemented,https://www.hhs.gov/sites/default/files/hhs-ai-use-cases-inventory.pdf,FY2022 inventory (public by November 2022),"A public FY2022 agency AI inventory was available during the study period, which supports the inference that the CIO Council had issued publicly usable inventory criteria, format, and mechanisms.",Implemented,Agree,
EO13960_5b,EO 13960,"Responsible agencies shall prepare an inventory of non-classified and non-sensitive AI use cases, including current and planned uses, and update that inventory annually.",Responsible agencies,Within 180 days of CIO Council guidance; annually thereafter,Unknown / Unable to verify,https://www.hhs.gov/sites/default/files/hhs-ai-use-cases-inventory.pdf,FY2022 inventory (public by November 2022),"At least one public FY2022 AI inventory was available, but the second-pass recoding did not infer whole-of-government completion for every responsible agency from a single published inventory example.",Unknown,Agree,
EO13960_5c,EO 13960,"As part of their inventories, agencies shall identify, review, and assess existing AI deployed and operating in support of agency missions for any inconsistencies with the order.",Responsible agencies,No fixed deadline,Unknown / Unable to verify,https://www.hhs.gov/sites/default/files/hhs-ai-use-cases-inventory.pdf,FY2022 inventory (public by November 2022),"A public FY2022 AI inventory showed that some agencies were publishing use-case materials, but the second-pass recoding did not infer full completion of the related follow-on review, sharing, and planning obligations for every responsible agency.",Unknown,Agree,
EO13960_5c_i,EO 13960,"Agencies shall develop plans either to achieve consistency with the order for each AI application or to retire applications found not to be consistent with the order, and those plans must be approved by the responsible officials.",Responsible agencies,Within 120 days of completing AI inventory,Unknown / Unable to verify,https://www.hhs.gov/sites/default/files/hhs-ai-use-cases-inventory.pdf,FY2022 inventory (public by November 2022),"A public FY2022 AI inventory showed that some agencies were publishing use-case materials, but the second-pass recoding did not infer full completion of the related follow-on review, sharing, and planning obligations for every responsible agency.",Unknown,Agree,
EO13960_5d,EO 13960,"Agencies shall share their AI inventories with other agencies, to the extent practicable and consistent with applicable law and policy, through coordination by the CIO and Chief Data Officer Councils.",Responsible agencies; CIO Council; Chief Data Officer Council,Within 60 days of completing AI inventory,Unknown / Unable to verify,https://www.hhs.gov/sites/default/files/hhs-ai-use-cases-inventory.pdf,FY2022 inventory (public by November 2022),"A public FY2022 AI inventory showed that some agencies were publishing use-case materials, but the second-pass recoding did not infer full completion of the related follow-on review, sharing, and planning obligations for every responsible agency.",Unknown,Agree,
EO13960_5e,EO 13960,"Agencies shall make their AI inventories available to the public, to the extent practicable and consistent with applicable law and policy.",Responsible agencies,Within 120 days of completing AI inventory,Unknown / Unable to verify,https://www.hhs.gov/sites/default/files/hhs-ai-use-cases-inventory.pdf,FY2022 inventory (public by November 2022),"At least one public FY2022 AI inventory was available, but the second-pass recoding did not infer whole-of-government completion for every responsible agency from a single published inventory example.",Not implemented,Disagree,The second-pass recoding treated the absence of a public artifact as insufficient to prove nonimplementation where the work could have occurred internally.
EO13960_6_participation,EO 13960,Agencies are expected to participate in interagency bodies for the purpose of advancing implementation of the principles and the use of AI consistent with the order.,Responsible agencies,No fixed deadline,Unknown / Unable to verify,https://www.federalregister.gov/documents/2020/12/08/2020-27065/promoting-the-use-of-trustworthy-artificial-intelligence-in-the-federal-government,2020-12-08,"The second-pass recoding treated this as an ongoing, internal, or multi-part obligation for which public evidence before the study cutoff was not specific enough to verify completion conservatively.",Unknown,Agree,
EO13960_6_cio_list,EO 13960,The CIO Council shall publish a list of recommended interagency bodies and forums in which agencies may elect to participate to advance the AI principles.,Federal CIO Council,Within 45 days of EO,Not implemented,https://www.federalregister.gov/documents/2020/12/08/2020-27065/promoting-the-use-of-trustworthy-artificial-intelligence-in-the-federal-government,2020-12-08,This row required a concrete public posting or guidance deliverable. The second-pass recode did not locate a matching public artifact by the study cutoff.,Unknown,Disagree,"The second-pass recoding treated this as a missed public deliverable because no matching public roadmap, list, or memo was located by the study cutoff."
EO13960_7a,EO 13960,"The Presidential Innovation Fellows program, administered by GSA in collaboration with agencies, shall identify priority areas of expertise and establish an AI track to attract experts from industry and academia.",Presidential Innovation Fellows program (GSA),Within 90 days of EO,Implemented,https://www.gsa.gov/blog/2020/10/19/passion-and-purpose-meet-the-2021-presidential-innovation-fellows,2020-10-19,GSA publicly described an AI-emphasis track within the Presidential Innovation Fellows program and identified AI-focused fellows and projects.,Implemented,Agree,
EO13960_7b,EO 13960,"OPM, coordinating with GSA and other relevant agencies, shall create an inventory of Federal Government rotational programs and determine how they can be used to expand the number of employees with AI expertise.",OPM in coordination with GSA and relevant agencies,Within 45 days of EO,Unknown / Unable to verify,https://www.federalregister.gov/documents/2020/12/08/2020-27065/promoting-the-use-of-trustworthy-artificial-intelligence-in-the-federal-government,2020-12-08,"The second-pass recoding treated this as an ongoing, internal, or multi-part obligation for which public evidence before the study cutoff was not specific enough to verify completion conservatively.",Unknown,Agree,
EO13960_7c,EO 13960,OPM shall issue a report with recommendations on how rotational programs can best be used to expand the number of employees with AI expertise at agencies.,OPM,Within 180 days of creating inventory under section 7(b),Unknown / Unable to verify,https://www.federalregister.gov/documents/2020/12/08/2020-27065/promoting-the-use-of-trustworthy-artificial-intelligence-in-the-federal-government,2020-12-08,"The second-pass recoding treated this as an ongoing, internal, or multi-part obligation for which public evidence before the study cutoff was not specific enough to verify completion conservatively.",Unknown,Agree,
EO13960_8c,EO 13960,Agencies shall specify the responsible official or officials who will coordinate implementation of the order's principles with the agency data governance body and relevant officials and collaborate with the interagency bodies.,Responsible agencies,Within 30 days of EO,Unknown / Unable to verify,https://www.federalregister.gov/documents/2020/12/08/2020-27065/promoting-the-use-of-trustworthy-artificial-intelligence-in-the-federal-government,2020-12-08,"The second-pass recoding treated this as an ongoing, internal, or multi-part obligation for which public evidence before the study cutoff was not specific enough to verify completion conservatively.",Unknown,Agree,
AIGA_103_create_coe,AI in Government Act,"GSA shall create an AI Center of Excellence to facilitate the adoption of AI technologies in the Federal Government, improve cohesion and competency in AI adoption and use, and benefit the public by enhancing productivity and efficiency of Federal operations.",GSA,No fixed deadline,Implemented,https://coe.gsa.gov/2020/03/17/ai-update-1.html,2020-03-17,"GSA publicly operated an Artificial Intelligence Center of Excellence during the study period, satisfying the center-creation requirement.",Implemented,Agree,
AIGA_103_duties,AI in Government Act,"The duties of the AI Center of Excellence shall include convening relevant stakeholders, publishing information on AI programs and initiatives, advising GSA, OMB, agencies, and OSTP, assisting agencies in applying Federal policies, and consulting with agencies that operate or support AI-related programs.",GSA AI Center of Excellence,No fixed deadline,Unknown / Unable to verify,https://www.govinfo.gov/app/details/COMPS-16716,2020-12-27,"The statute describes concrete duties, but the second-pass recoding did not locate enough requirement-specific public evidence by the study cutoff to verify the full bundle conservatively.",Unknown,Agree,
AIGA_104_abd,AI in Government Act,"OMB, coordinating with OSTP, GSA, and other relevant agencies and stakeholders, shall issue draft and final memorandum guidance on Federal acquisition and use of AI, barriers to agency AI use, discriminatory impact and bias mitigation, and the template for agency compliance plans, and shall update that memorandum every two years for ten years.","OMB in coordination with OSTP, GSA, and relevant agencies and stakeholders",Draft for public comment not later than 180 days after enactment; final not later than 270 days after enactment,Not implemented,https://www.govinfo.gov/app/details/COMPS-16716,2020-12-27,"The AI in Government Act required draft and final OMB guidance on acquisition and use of AI, but no such public memo was located by the study cutoff.",Not implemented,Agree,
AIGA_104c,AI in Government Act,Heads of agencies shall submit to OMB and post publicly either a plan to achieve consistency with the OMB memorandum or a written determination that the agency does not use and does not anticipate using AI.,Heads of agencies,No later than 180 days after OMB issues memorandum,Excluded because deadline had not passed,https://www.govinfo.gov/app/details/COMPS-16716,2020-12-27,"This follow-on agency posting requirement depended on issuance of the OMB memo required in section 104(a), and the second-pass recoding did not treat that triggering memo as completed by the study cutoff.",Not implemented,Disagree,The second-pass recoding treated this as a follow-on requirement whose deadline had not yet been triggered because the prerequisite OMB memorandum was not publicly in place.
AIGA_105a,AI in Government Act,"The OPM Director shall identify AI-related skills and competencies, establish or update an AI occupational series, estimate the number of Federal employees in AI-related positions by agency, and prepare two-year and five-year workforce forecasts.",OPM Director,Not later than 18 months after enactment,Unknown / Unable to verify,https://www.govinfo.gov/app/details/COMPS-16716,2020-12-27,"The statute describes concrete duties, but the second-pass recoding did not locate enough requirement-specific public evidence by the study cutoff to verify the full bundle conservatively.",Not implemented,Disagree,The second-pass recoding treated the absence of a public artifact as insufficient to prove nonimplementation where the work could have occurred internally.
AIGA_105b,AI in Government Act,The OPM Director shall submit to the relevant congressional committees a comprehensive plan with a timeline to complete the requirements described in section 105(a).,OPM Director,Not later than 120 days after enactment,Unknown / Unable to verify,https://www.govinfo.gov/app/details/COMPS-16716,2020-12-27,"The statute describes concrete duties, but the second-pass recoding did not locate enough requirement-specific public evidence by the study cutoff to verify the full bundle conservatively.",Not implemented,Disagree,The second-pass recoding treated the absence of a public artifact as insufficient to prove nonimplementation where the work could have occurred internally.
