requirement_id,source_policy,requirement_text,responsible_entity,deadline,original_status,original_evidence_notes
EO13859_5b,EO 13859,"The Secretaries of Defense, Commerce, Health and Human Services, and Energy, the NASA Administrator, and the NSF Director shall prioritize the allocation of high-performance computing resources for AI-related applications through discretionary reserves or other mechanisms.","Secretaries of Defense, Commerce, Health and Human Services, and Energy; Administrator of NASA; Director of NSF",No fixed deadline,Implemented,The paper cites the National AI Initiative Office's AI Researchers Portal and its federally supported computing infrastructure resources overview.
EO13859_5c,EO 13859,"The NSTC Select Committee on AI, in coordination with GSA, shall submit a report to the President making recommendations on better enabling the use of cloud computing resources for federally funded AI R&D.",NSTC Select Committee on AI in coordination with GSA,Within 180 days of EO,Implemented,"The paper cites the November 17, 2020 recommendations report and a July 2022 lessons-learned report, noting that the original deadline was missed but the required report was ultimately produced."
EO13859_5d,EO 13859,"The NSTC Select Committee on AI shall provide technical expertise to the American Technology Council on AI and the modernization of Federal technology, data, and digital service delivery.",NSTC Select Committee on AI,No fixed deadline,Unknown,The paper treats this as an ongoing requirement without a mandated outcome.
EO13859_6a_b,EO 13859,"OMB, coordinating with OSTP, the Domestic Policy Council, the NEC, and other relevant agencies and stakeholders, shall issue a memorandum to guide regulatory and non-regulatory approaches to AI and shall release a draft for public comment before finalizing it.","OMB Director in coordination with OSTP, Domestic Policy Council, NEC, and relevant agencies and stakeholders",Within 180 days of EO,Implemented,"The paper cites the January 2020 draft request for comments and the final OMB M-21-06 memorandum issued on November 17, 2020."
EO13859_6c,EO 13859,Implementing agencies that also have regulatory authorities shall review their authorities and submit plans to OMB to achieve consistency with the OMB memorandum issued under section 6(a).,Implementing agencies with regulatory authorities,Within 180 days of OMB memorandum,Not implemented,The paper marks this as not implemented and points to the poor publication rate of Agency AI Plans discussed in Section 6 and Appendix B.
EO13859_6d,EO 13859,"The Secretary of Commerce, through the NIST Director and with relevant agency participation, shall issue a plan for Federal engagement in the development of AI technical standards and related tools.",Secretary of Commerce through the NIST Director,Within 180 days of EO,Implemented,"The paper cites NIST's August 2019 report, A Plan for Federal Engagement in Developing AI Technical Standards and Related Tools."
EO13859_7a_i_ii,EO 13859,Implementing agencies that provide educational grants shall consider AI as a priority area within existing Federal fellowship and service programs and shall annually communicate plans for doing so to the NSTC Select Committee on AI.,Implementing agencies that provide educational grants,Annually,Unknown,The paper found no mandated public reporting that would verify the status of this ongoing annual requirement.
EO13859_7b,EO 13859,The NSTC Select Committee on AI shall provide recommendations to the NSTC Committee on STEM Education regarding AI-related educational and workforce development considerations that focus on American citizens.,NSTC Select Committee on AI,Within 90 days of EO,Unknown,The paper found no mandated public reporting that would verify whether the recommendations had been delivered.
EO13859_7c,EO 13859,The NSTC Select Committee on AI shall provide technical expertise to the National Council for the American Worker on AI and the American workforce.,NSTC Select Committee on AI,No fixed deadline,Unknown,The paper treats this as an ongoing requirement without mandated public reporting.
EO13859_8a_b,EO 13859,"The Assistant to the President for National Security Affairs, coordinating with OSTP and relevant agencies, shall organize and submit to the President an action plan to protect the United States advantage in AI and related critical technologies against strategic competitors and adversarial nations.",Assistant to the President for National Security Affairs in coordination with OSTP and recipients of the NSPM,Within 120 days of EO,Unknown,The paper found no public confirmation of the action plan and notes that the associated national security memorandum may itself not have been issued publicly.
EO13859_8c,EO 13859,Agencies that are recipients of the action plan described in section 8(a)-(b) shall implement that action plan.,Agencies that are recipients of the action plan,Within 120 days of EO,Unknown,The paper found no mandated public reporting that would verify implementation.
EO13960_2b,EO 13960,"Responsible agencies shall, when considering the design, development, acquisition, and use of AI in Government, be guided by the order's principles in order to foster public trust and remain consistent with law.",Responsible agencies as defined in section 8,No fixed deadline,Unknown,"The paper notes example agency documents that suggest implementation, but classifies the overall ongoing requirement as not publicly verifiable."
EO13960_4a,EO 13960,"To the extent existing OMB policies that address information and information technology design, development, acquisition, and use are consistent with the order's principles and applicable law, those policies shall continue to apply.",OMB and agencies,No fixed deadline,Unknown,The paper treats this as an ongoing requirement without a mandated public outcome.
EO13960_4b,EO 13960,"OMB shall publicly post a roadmap for policy guidance that it intends to create or revise to better support the use of AI in Government, including a schedule for public engagement and finalization where appropriate.",OMB Director in coordination with key stakeholders,Within 180 days of EO,Not implemented,"The paper found no public roadmap that matched this requirement, despite related milestones in the 2021 Federal Data Strategy Action Plan."
EO13960_4c,EO 13960,"Agencies shall continue to use voluntary consensus standards developed with industry participation where available and appropriate, and OMB shall take such standards into account when revising or developing AI guidance.",Agencies and OMB,No fixed deadline,Unknown,The paper classifies this as an ongoing requirement without mandated public reporting.
EO13960_5a,EO 13960,"The CIO Council, coordinating with relevant interagency bodies, shall identify, provide guidance on, and make publicly available the criteria, format, and mechanisms for agency inventories of non-classified and non-sensitive AI use cases.",Federal CIO Council in coordination with interagency bodies,Within 60 days of EO,Implemented,"The paper cites the CIO Council's 2021 guidance, FAQ materials, example scenarios, and template for agency AI use case inventories."
EO13960_5b,EO 13960,"Responsible agencies shall prepare an inventory of non-classified and non-sensitive AI use cases, including current and planned uses, and update that inventory annually.",Responsible agencies,Within 180 days of CIO Council guidance; annually thereafter,Unknown,The paper treats this requirement as separate from the public disclosure requirement in section 5(e) and finds no mandated public reporting on status.
EO13960_5c,EO 13960,"As part of their inventories, agencies shall identify, review, and assess existing AI deployed and operating in support of agency missions for any inconsistencies with the order.",Responsible agencies,No fixed deadline,Unknown,The paper classifies this as open-ended and not publicly verifiable apart from the more specific follow-on requirements in sections 5(c)(i) and 5(c)(ii).
EO13960_5c_i,EO 13960,"Agencies shall develop plans either to achieve consistency with the order for each AI application or to retire applications found not to be consistent with the order, and those plans must be approved by the responsible officials.",Responsible agencies,Within 120 days of completing AI inventory,Unknown,The paper found no mandated public reporting that would verify completion of these plans.
EO13960_5d,EO 13960,"Agencies shall share their AI inventories with other agencies, to the extent practicable and consistent with applicable law and policy, through coordination by the CIO and Chief Data Officer Councils.",Responsible agencies; CIO Council; Chief Data Officer Council,Within 60 days of completing AI inventory,Unknown,The paper found no mandated public reporting that would verify whether interagency sharing had taken place.
EO13960_5e,EO 13960,"Agencies shall make their AI inventories available to the public, to the extent practicable and consistent with applicable law and policy.",Responsible agencies,Within 120 days of completing AI inventory,Not implemented,The paper marks this as not implemented overall and notes that only a minority of inventories had been publicly posted at the time of assessment.
EO13960_6_participation,EO 13960,Agencies are expected to participate in interagency bodies for the purpose of advancing implementation of the principles and the use of AI consistent with the order.,Responsible agencies,No fixed deadline,Unknown,The paper treats this as an ongoing requirement without a mandated outcome to assess.
EO13960_6_cio_list,EO 13960,The CIO Council shall publish a list of recommended interagency bodies and forums in which agencies may elect to participate to advance the AI principles.,Federal CIO Council,Within 45 days of EO,Unknown,The paper found no mandated public reporting that would verify publication of the required list.
EO13960_7a,EO 13960,"The Presidential Innovation Fellows program, administered by GSA in collaboration with agencies, shall identify priority areas of expertise and establish an AI track to attract experts from industry and academia.",Presidential Innovation Fellows program (GSA),Within 90 days of EO,Implemented,"The paper notes that the 2022 Presidential Innovation Fellows application included a Data Strategy and AI track, treating the requirement as implemented."
EO13960_7b,EO 13960,"OPM, coordinating with GSA and other relevant agencies, shall create an inventory of Federal Government rotational programs and determine how they can be used to expand the number of employees with AI expertise.",OPM in coordination with GSA and relevant agencies,Within 45 days of EO,Unknown,The paper found no mandated public reporting that would verify completion of the inventory.
EO13960_7c,EO 13960,OPM shall issue a report with recommendations on how rotational programs can best be used to expand the number of employees with AI expertise at agencies.,OPM,Within 180 days of creating inventory under section 7(b),Unknown,"The paper found no public report matching the EO's specific recommendation requirement, even though broader workforce priority materials existed."
EO13960_8c,EO 13960,Agencies shall specify the responsible official or officials who will coordinate implementation of the order's principles with the agency data governance body and relevant officials and collaborate with the interagency bodies.,Responsible agencies,Within 30 days of EO,Unknown,The paper found no mandated public reporting that would verify designation of the responsible officials.
AIGA_103_create_coe,AI in Government Act,"GSA shall create an AI Center of Excellence to facilitate the adoption of AI technologies in the Federal Government, improve cohesion and competency in AI adoption and use, and benefit the public by enhancing productivity and efficiency of Federal operations.",GSA,No fixed deadline,Implemented,"The paper cites the Artificial Intelligence Center of Excellence, its services catalog, and the published AI Guide for Government."
AIGA_103_duties,AI in Government Act,"The duties of the AI Center of Excellence shall include convening relevant stakeholders, publishing information on AI programs and initiatives, advising GSA, OMB, agencies, and OSTP, assisting agencies in applying Federal policies, and consulting with agencies that operate or support AI-related programs.",GSA AI Center of Excellence,No fixed deadline,Unknown,"The paper classifies most of these duties as ongoing requirements without mandated outcomes to assess, while noting partial examples of activity."
AIGA_104_abd,AI in Government Act,"OMB, coordinating with OSTP, GSA, and other relevant agencies and stakeholders, shall issue draft and final memorandum guidance on Federal acquisition and use of AI, barriers to agency AI use, discriminatory impact and bias mitigation, and the template for agency compliance plans, and shall update that memorandum every two years for ten years.","OMB in coordination with OSTP, GSA, and relevant agencies and stakeholders",Draft for public comment not later than 180 days after enactment; final not later than 270 days after enactment,Not implemented,The paper marks both the draft and final memorandum requirement as not implemented as of the 2022 assessment window.
AIGA_104c,AI in Government Act,Heads of agencies shall submit to OMB and post publicly either a plan to achieve consistency with the OMB memorandum or a written determination that the agency does not use and does not anticipate using AI.,Heads of agencies,No later than 180 days after OMB issues memorandum,Not implemented,The paper marks this as not implemented because the required OMB memorandum had not been issued and corresponding agency plans had not been posted.
AIGA_105a,AI in Government Act,"The OPM Director shall identify AI-related skills and competencies, establish or update an AI occupational series, estimate the number of Federal employees in AI-related positions by agency, and prepare two-year and five-year workforce forecasts.",OPM Director,Not later than 18 months after enactment,Not implemented,The paper marks the workforce and occupational series requirement as not implemented.
AIGA_105b,AI in Government Act,The OPM Director shall submit to the relevant congressional committees a comprehensive plan with a timeline to complete the requirements described in section 105(a).,OPM Director,Not later than 120 days after enactment,Not implemented,The paper marks the required congressional plan as not implemented.
