requirement_id,source_policy,requirement_text,responsible_entity,deadline,appendix_status,aggregate_status,aggregate_count_included,updated_2026_status,status_change,evidence_url,evidence_title,evidence_date,evidence_source_type,verification_confidence,update_notes,superseded_or_replaced,replacement_policy_source
EO13859_5a_iv,EO 13859,"Agencies, coordinating with privacy officials, statistical entities, data managers, and other relevant personnel, shall identify barriers or requirements associated with increased access to and use of data and models, including privacy, safety, security, documentation, governance, and related considerations.","Agencies in coordination with privacy officials, statistical entities, data managers, and relevant personnel",No fixed deadline,Unknown,Unknown,Yes,Unable to verify,No material change,https://resources.data.gov,resources.data.gov,2026-07-24,Federal data guidance portal,Low,"Public evidence shows some relevant infrastructure and guidance, but this pass did not find sufficient government-wide documentation to verify completion conservatively.",No,
EO13859_5a_v,EO 13859,"Agencies shall identify opportunities to use new technologies and best practices to increase access to and usability of open data and models, while exploring appropriate controls on access to sensitive or restricted data and models.",Agencies,No fixed deadline,Unknown,Unknown,Yes,Unable to verify,No material change,https://resources.data.gov,resources.data.gov,2026-07-24,Federal data guidance portal,Low,"Public evidence shows some relevant infrastructure and guidance, but this pass did not find sufficient government-wide documentation to verify completion conservatively.",No,
EO13859_5b,EO 13859,"The Secretaries of Defense, Commerce, Health and Human Services, and Energy, the NASA Administrator, and the NSF Director shall prioritize the allocation of high-performance computing resources for AI-related applications through discretionary reserves or other mechanisms.","Secretaries of Defense, Commerce, Health and Human Services, and Energy; Administrator of NASA; Director of NSF",No fixed deadline,Implemented,Implemented,Yes,Partially implemented,Evidence weaker in 2026,https://www.nitrd.gov/coordination-areas/ai/,Artificial Intelligence Research and Development - NITRD Program,2026-07-24,NITRD program page,Medium,"Public evidence shows continued federal coordination around AI R&D and computing resources, but this pass does not verify named-agency prioritization decisions one by one.",No,
EO13859_5c,EO 13859,"The NSTC Select Committee on AI, in coordination with GSA, shall submit a report to the President making recommendations on better enabling the use of cloud computing resources for federally funded AI R&D.",NSTC Select Committee on AI in coordination with GSA,Within 180 days of EO,Implemented,Implemented,Yes,Implemented,No material change,https://www.nitrd.gov/recommendations-for-leveraging-cloud-computing-resources-for-federally-funded-artificial-intelligence-research-and-development/,Recommendations for Leveraging Cloud Computing Resources for Federally Funded Artificial Intelligence Research and Development,2020-11-17,NITRD report page,High,The required cloud-computing recommendations report was publicly released. The requirement is complete.,No,
EO13859_5d,EO 13859,"The NSTC Select Committee on AI shall provide technical expertise to the American Technology Council on AI and the modernization of Federal technology, data, and digital service delivery.",NSTC Select Committee on AI,No fixed deadline,Unknown,Unknown,Yes,Unable to verify,No material change,https://resources.data.gov,resources.data.gov,2026-07-24,Federal data guidance portal,Low,"Public evidence shows some relevant infrastructure and guidance, but this pass did not find sufficient government-wide documentation to verify completion conservatively.",No,
EO13859_6a_b,EO 13859,"OMB, coordinating with OSTP, the Domestic Policy Council, the NEC, and other relevant agencies and stakeholders, shall issue a memorandum to guide regulatory and non-regulatory approaches to AI and shall release a draft for public comment before finalizing it.","OMB Director in coordination with OSTP, Domestic Policy Council, NEC, and relevant agencies and stakeholders",Within 180 days of EO,Implemented,Implemented,Yes,Implemented,No material change,https://www.whitehouse.gov/wp-content/uploads/2020/11/M-21-06.pdf,OMB Memorandum M-21-06: Guidance for Regulation of Artificial Intelligence Applications,2020-11-17,OMB memorandum PDF,High,"OMB issued the required memorandum, and it remains publicly available.",No,
EO13859_6c,EO 13859,Implementing agencies that also have regulatory authorities shall review their authorities and submit plans to OMB to achieve consistency with the OMB memorandum issued under section 6(a).,Implementing agencies with regulatory authorities,Within 180 days of OMB memorandum,Not implemented,Not implemented,Yes,Superseded or replaced,Superseded or replaced,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,"OMB Memorandum M-25-21: Accelerating Federal Use of AI through Innovation, Governance, and Public Trust",2025-04-03,OMB memorandum PDF,Medium,The original M-21-06-specific agency planning obligation is no longer the operative public framework. M-25-21 now requires agencies to submit and publicly post updated compliance plans.,Yes,OMB Memorandum M-25-21
EO13859_6d,EO 13859,"The Secretary of Commerce, through the NIST Director and with relevant agency participation, shall issue a plan for Federal engagement in the development of AI technical standards and related tools.",Secretary of Commerce through the NIST Director,Within 180 days of EO,Implemented,Implemented,Yes,Implemented,No material change,https://www.nist.gov/artificial-intelligence/plan-federal-engagement-developing-ai-technical-standards-and-related-tools,A Plan for Federal Engagement in Developing AI Technical Standards and Related Tools in response to Executive Order (EO 13859),2022-04-05,NIST standards page,High,NIST released the required technical-standards engagement plan. The requirement is complete.,No,
EO13859_7a_i_ii,EO 13859,Implementing agencies that provide educational grants shall consider AI as a priority area within existing Federal fellowship and service programs and shall annually communicate plans for doing so to the NSTC Select Committee on AI.,Implementing agencies that provide educational grants,Annually,Unknown,Unknown,Yes,Partially implemented,Clarified in 2026,https://www.ai.gov/,AI.Gov | President Trump's AI Strategy and Action Plan,2026-07-24,White House AI portal,Low,"Public federal AI education initiatives remain active, but this pass does not verify the annual communications from each covered grantmaking agency to the NSTC Select Committee.",No,
EO13859_7b,EO 13859,The NSTC Select Committee on AI shall provide recommendations to the NSTC Committee on STEM Education regarding AI-related educational and workforce development considerations that focus on American citizens.,NSTC Select Committee on AI,Within 90 days of EO,Unknown,Unknown,Yes,Unable to verify,No material change,https://resources.data.gov,resources.data.gov,2026-07-24,Federal data guidance portal,Low,"Public evidence shows some relevant infrastructure and guidance, but this pass did not find sufficient government-wide documentation to verify completion conservatively.",No,
EO13859_7c,EO 13859,The NSTC Select Committee on AI shall provide technical expertise to the National Council for the American Worker on AI and the American workforce.,NSTC Select Committee on AI,No fixed deadline,Unknown,Unknown,Yes,Unable to verify,No material change,https://resources.data.gov,resources.data.gov,2026-07-24,Federal data guidance portal,Low,"Public evidence shows some relevant infrastructure and guidance, but this pass did not find sufficient government-wide documentation to verify completion conservatively.",No,
EO13859_8a_b,EO 13859,"The Assistant to the President for National Security Affairs, coordinating with OSTP and relevant agencies, shall organize and submit to the President an action plan to protect the United States advantage in AI and related critical technologies against strategic competitors and adversarial nations.",Assistant to the President for National Security Affairs in coordination with OSTP and recipients of the NSPM,Within 120 days of EO,Unknown,Unknown,Yes,Superseded or replaced,Superseded or replaced,https://www.whitehouse.gov/fact-sheets/2026/06/fact-sheet-president-donald-j-trump-signs-historic-directive-on-ai-in-the-national-security-enterprise/,Fact Sheet: President Donald J. Trump Signs Historic Directive on AI in the National Security Enterprise,2026-06-05,White House fact sheet,Medium,"The original national-security planning framework referenced by EO 13859 has been overtaken by the June 5, 2026 National Security Presidential Memorandum on AI in the National Security Enterprise.",Yes,National Security Presidential Memorandum on AI in the National Security Enterprise (2026-06-05)
EO13859_8c,EO 13859,Agencies that are recipients of the action plan described in section 8(a)-(b) shall implement that action plan.,Agencies that are recipients of the action plan,Within 120 days of EO,Unknown,Unknown,Yes,Superseded or replaced,Superseded or replaced,https://www.whitehouse.gov/fact-sheets/2026/06/fact-sheet-president-donald-j-trump-signs-historic-directive-on-ai-in-the-national-security-enterprise/,Fact Sheet: President Donald J. Trump Signs Historic Directive on AI in the National Security Enterprise,2026-06-05,White House fact sheet,Medium,"The original national-security planning framework referenced by EO 13859 has been overtaken by the June 5, 2026 National Security Presidential Memorandum on AI in the National Security Enterprise.",Yes,National Security Presidential Memorandum on AI in the National Security Enterprise (2026-06-05)
EO13960_2b,EO 13960,"Responsible agencies shall, when considering the design, development, acquisition, and use of AI in Government, be guided by the order's principles in order to foster public trust and remain consistent with law.",Responsible agencies as defined in section 8,No fixed deadline,Unknown,Unknown,Yes,Partially implemented,Clarified in 2026,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,"OMB Memorandum M-25-21: Accelerating Federal Use of AI through Innovation, Governance, and Public Trust",2025-04-03,OMB memorandum PDF,Medium,"The current government-wide AI governance memo explicitly operates in concert with Executive Order 13960 and requires agencies to maintain governance, public trust, and reporting structures. That is strong evidence that the EO 13960 principles continue to shape agency practice, but not enough to classify every covered agency as fully compliant.",No,
EO13960_4a,EO 13960,"To the extent existing OMB policies that address information and information technology design, development, acquisition, and use are consistent with the order's principles and applicable law, those policies shall continue to apply.",OMB and agencies,No fixed deadline,Unknown,Unknown,Yes,Partially implemented,Clarified in 2026,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,"OMB Memorandum M-25-21: Accelerating Federal Use of AI through Innovation, Governance, and Public Trust",2025-04-03,OMB memorandum PDF,Medium,"The current government-wide AI governance memo explicitly operates in concert with Executive Order 13960 and requires agencies to maintain governance, public trust, and reporting structures. That is strong evidence that the EO 13960 principles continue to shape agency practice, but not enough to classify every covered agency as fully compliant.",No,
EO13960_4b,EO 13960,"OMB shall publicly post a roadmap for policy guidance that it intends to create or revise to better support the use of AI in Government, including a schedule for public engagement and finalization where appropriate.",OMB Director in coordination with key stakeholders,Within 180 days of EO,Not implemented,Not implemented,Yes,Superseded or replaced,Superseded or replaced,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,"OMB Memorandum M-25-21: Accelerating Federal Use of AI through Innovation, Governance, and Public Trust",2025-04-03,OMB memorandum PDF,Medium,OMB moved beyond the earlier unfulfilled roadmap requirement and issued current AI use and acquisition directives with public implementation tables.,Yes,OMB Memoranda M-25-21 and M-25-22
EO13960_4c,EO 13960,"Agencies shall continue to use voluntary consensus standards developed with industry participation where available and appropriate, and OMB shall take such standards into account when revising or developing AI guidance.",Agencies and OMB,No fixed deadline,Unknown,Unknown,Yes,Unable to verify,No material change,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,"OMB Memorandum M-25-21: Accelerating Federal Use of AI through Innovation, Governance, and Public Trust",2025-04-03,OMB memorandum PDF,Low,"The current federal AI framework references standards and governance, but this pass did not find enough public evidence to verify government-wide continued use of voluntary consensus standards in the precise sense required by the original EO 13960 provision.",No,
EO13960_5a,EO 13960,"The CIO Council, coordinating with relevant interagency bodies, shall identify, provide guidance on, and make publicly available the criteria, format, and mechanisms for agency inventories of non-classified and non-sensitive AI use cases.",Federal CIO Council in coordination with interagency bodies,Within 60 days of EO,Implemented,Implemented,Yes,Partially implemented,Evidence weaker in 2026,https://www.epa.gov/data/ai-use-case-inventory,AI Use Case Inventory | US EPA,2026-05-04,Agency AI inventory page,Medium,"By 2026, agencies are clearly using common inventory/reporting structures and posting public AI inventory data. That strongly suggests the underlying criteria/format/mechanism requirement was operationalized, but this pass did not recover a direct public copy of the original CIO Council artifact itself.",No,
EO13960_5b,EO 13960,"Responsible agencies shall prepare an inventory of non-classified and non-sensitive AI use cases, including current and planned uses, and update that inventory annually.",Responsible agencies,Within 180 days of CIO Council guidance; annually thereafter,Unknown,Unknown,Yes,Partially implemented,Clarified in 2026,https://www.justice.gov/ai/ai-inventory,Department of Justice | AI Inventory,2026-07-24,Agency AI inventory page,Medium,"By 2026, agencies are clearly conducting and publishing annual AI inventories, but this pass did not verify every covered agency individually. The coding therefore remains conservative at partially implemented.",No,
EO13960_5c,EO 13960,"As part of their inventories, agencies shall identify, review, and assess existing AI deployed and operating in support of agency missions for any inconsistencies with the order.",Responsible agencies,No fixed deadline,Unknown,Unknown,Yes,Partially implemented,Clarified in 2026,https://www.justice.gov/ai/ai-inventory,Department of Justice | AI Inventory,2026-07-24,Agency AI inventory page,Medium,"Public inventory methodology shows agencies are using AI governance review processes to consolidate and scrutinize use cases, but this pass does not establish full government-wide completion of review-and-assessment activity.",No,
EO13960_5c_i,EO 13960,"Agencies shall develop plans either to achieve consistency with the order for each AI application or to retire applications found not to be consistent with the order, and those plans must be approved by the responsible officials.",Responsible agencies,Within 120 days of completing AI inventory,Unknown,Unknown,Yes,Unable to verify,No material change,https://www.justice.gov/media/1373026/dl,Department of Justice Compliance Plan for OMB Memorandum M-24-10,2024-10-01,Agency compliance plan PDF,Low,"Agency governance processes clearly exist, but this pass does not verify full government-wide completion of the specific planning, implementation, sharing, or workforce deliverables tied to these rows.",No,
EO13960_5c_ii,EO 13960,"Agencies shall strive to implement the approved plans for AI applications, subject to existing resource levels and in coordination with the Agency Data Governance Body and relevant officials.",Responsible agencies,Within 180 days of plan approval,"Not implemented, but not past deadline",Excluded,No,Unable to verify,Originally excluded; coded in 2026,https://www.justice.gov/media/1373026/dl,Department of Justice Compliance Plan for OMB Memorandum M-24-10,2024-10-01,Agency compliance plan PDF,Low,"Agency governance processes clearly exist, but this pass does not verify full government-wide completion of the specific planning, implementation, sharing, or workforce deliverables tied to these rows.",No,
EO13960_5d,EO 13960,"Agencies shall share their AI inventories with other agencies, to the extent practicable and consistent with applicable law and policy, through coordination by the CIO and Chief Data Officer Councils.",Responsible agencies; CIO Council; Chief Data Officer Council,Within 60 days of completing AI inventory,Unknown,Unknown,Yes,Unable to verify,No material change,https://www.justice.gov/media/1373026/dl,Department of Justice Compliance Plan for OMB Memorandum M-24-10,2024-10-01,Agency compliance plan PDF,Low,"Agency governance processes clearly exist, but this pass does not verify full government-wide completion of the specific planning, implementation, sharing, or workforce deliverables tied to these rows.",No,
EO13960_5e,EO 13960,"Agencies shall make their AI inventories available to the public, to the extent practicable and consistent with applicable law and policy.",Responsible agencies,Within 120 days of completing AI inventory,Not implemented,Not implemented,Yes,Partially implemented,Improved,https://www.justice.gov/ai/ai-inventory,Department of Justice | AI Inventory,2026-07-24,Agency AI inventory page,Medium,"By 2026, agencies are clearly conducting and publishing annual AI inventories, but this pass did not verify every covered agency individually. The coding therefore remains conservative at partially implemented.",No,
EO13960_6_participation,EO 13960,Agencies are expected to participate in interagency bodies for the purpose of advancing implementation of the principles and the use of AI consistent with the order.,Responsible agencies,No fixed deadline,Unknown,Unknown,Yes,Partially implemented,Clarified in 2026,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,"OMB Memorandum M-25-21: Accelerating Federal Use of AI through Innovation, Governance, and Public Trust",2025-04-03,OMB memorandum PDF,Medium,The 2025 memo creates an interagency Chief AI Officer Council to coordinate development and use of AI across agencies and explicitly advance implementation of the AI principles from EO 13960.,No,
EO13960_6_cio_list,EO 13960,The CIO Council shall publish a list of recommended interagency bodies and forums in which agencies may elect to participate to advance the AI principles.,Federal CIO Council,Within 45 days of EO,Unknown,Unknown,Yes,Superseded or replaced,Superseded or replaced,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,"OMB Memorandum M-25-21: Accelerating Federal Use of AI through Innovation, Governance, and Public Trust",2025-04-03,OMB memorandum PDF,Medium,"The current governance structure centers on designated Chief AI Officers, agency governance boards, and the OMB-led Chief AI Officer Council rather than the earlier CIO Council structure.",Yes,OMB Memorandum M-25-21
EO13960_7a,EO 13960,"The Presidential Innovation Fellows program, administered by GSA in collaboration with agencies, shall identify priority areas of expertise and establish an AI track to attract experts from industry and academia.",Presidential Innovation Fellows program (GSA),Within 90 days of EO,Implemented,Implemented,Yes,Implemented,No material change,https://www.gsa.gov/about-gsa/newsroom/news-releases/gsa-advances-tech-talent-strategy-with-new-presidential-innovation-fellows-class-04232026,GSA Advances Tech Talent Strategy with New Presidential Innovation Fellows Class,2026-04-23,GSA news release,High,The Presidential Innovation Fellows program remains active in 2026 and is publicly supporting AI-related agency projects.,No,
EO13960_7b,EO 13960,"OPM, coordinating with GSA and other relevant agencies, shall create an inventory of Federal Government rotational programs and determine how they can be used to expand the number of employees with AI expertise.",OPM in coordination with GSA and relevant agencies,Within 45 days of EO,Unknown,Unknown,Yes,Unable to verify,No material change,https://www.justice.gov/media/1373026/dl,Department of Justice Compliance Plan for OMB Memorandum M-24-10,2024-10-01,Agency compliance plan PDF,Low,"Agency governance processes clearly exist, but this pass does not verify full government-wide completion of the specific planning, implementation, sharing, or workforce deliverables tied to these rows.",No,
EO13960_7c,EO 13960,OPM shall issue a report with recommendations on how rotational programs can best be used to expand the number of employees with AI expertise at agencies.,OPM,Within 180 days of creating inventory under section 7(b),Unknown,Unknown,Yes,Unable to verify,No material change,https://www.justice.gov/media/1373026/dl,Department of Justice Compliance Plan for OMB Memorandum M-24-10,2024-10-01,Agency compliance plan PDF,Low,"Agency governance processes clearly exist, but this pass does not verify full government-wide completion of the specific planning, implementation, sharing, or workforce deliverables tied to these rows.",No,
EO13960_8c,EO 13960,Agencies shall specify the responsible official or officials who will coordinate implementation of the order's principles with the agency data governance body and relevant officials and collaborate with the interagency bodies.,Responsible agencies,Within 30 days of EO,Unknown,Unknown,Yes,Superseded or replaced,Superseded or replaced,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,"OMB Memorandum M-25-21: Accelerating Federal Use of AI through Innovation, Governance, and Public Trust",2025-04-03,OMB memorandum PDF,Medium,"The current governance structure centers on designated Chief AI Officers, agency governance boards, and the OMB-led Chief AI Officer Council rather than the earlier CIO Council structure.",Yes,OMB Memorandum M-25-21
AIGA_103_create_coe,AI in Government Act,"GSA shall create an AI Center of Excellence to facilitate the adoption of AI technologies in the Federal Government, improve cohesion and competency in AI adoption and use, and benefit the public by enhancing productivity and efficiency of Federal operations.",GSA,No fixed deadline,Implemented,Implemented,Yes,Implemented,No material change,https://www.gsa.gov/artificial-intelligence,Artificial intelligence | GSA,2026-07-10,Agency AI hub page,High,"GSA continues to operate a public federal AI hub with USAi, AI use cases, governance, and acquisition resources, indicating the AI Center of Excellence function remains active.",No,
AIGA_103_duties,AI in Government Act,"The duties of the AI Center of Excellence shall include convening relevant stakeholders, publishing information on AI programs and initiatives, advising GSA, OMB, agencies, and OSTP, assisting agencies in applying Federal policies, and consulting with agencies that operate or support AI-related programs.",GSA AI Center of Excellence,No fixed deadline,Unknown,Unknown,Yes,Partially implemented,Clarified in 2026,https://www.gsa.gov/artificial-intelligence,Artificial intelligence | GSA,2026-07-10,Agency AI hub page,Medium,"GSA publicly operates AI coordination, use-case publication, procurement support, USAi, and related cross-agency resources. But several statutory duties remain ongoing and are not fully auditable from public evidence alone.",No,
AIGA_104_abd,AI in Government Act,"OMB, coordinating with OSTP, GSA, and other relevant agencies and stakeholders, shall issue draft and final memorandum guidance on Federal acquisition and use of AI, barriers to agency AI use, discriminatory impact and bias mitigation, and the template for agency compliance plans, and shall update that memorandum every two years for ten years.","OMB in coordination with OSTP, GSA, and relevant agencies and stakeholders",Draft for public comment not later than 180 days after enactment; final not later than 270 days after enactment,Not implemented,Not implemented,Yes,Implemented,Improved,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,"OMB Memorandum M-25-21: Accelerating Federal Use of AI through Innovation, Governance, and Public Trust",2025-04-03,OMB memorandum PDF,High,"By April 3, 2025, OMB issued current government-wide memoranda on Federal AI use and AI acquisition. Together with M-25-22, this closes the earlier guidance gap identified in the paper.",No,
AIGA_104c,AI in Government Act,Heads of agencies shall submit to OMB and post publicly either a plan to achieve consistency with the OMB memorandum or a written determination that the agency does not use and does not anticipate using AI.,Heads of agencies,No later than 180 days after OMB issues memorandum,Not implemented,Not implemented,Yes,Partially implemented,Improved,https://www.gsa.gov/artificial-intelligence/resources/ai-strategies-and-compliance-plan,AI strategies and compliance plan | GSA,2025-09-30,Agency strategy and compliance page,Medium,"Public agency compliance plans now exist, but this pass did not confirm every covered agency's public plan or written determination. The conservative coding is partially implemented.",No,
AIGA_105a,AI in Government Act,"The OPM Director shall identify AI-related skills and competencies, establish or update an AI occupational series, estimate the number of Federal employees in AI-related positions by agency, and prepare two-year and five-year workforce forecasts.",OPM Director,Not later than 18 months after enactment,Not implemented,Not implemented,Yes,Implemented,Improved,https://www.opm.gov/chcoc/transmittals/2024/The%20Artificial%20Intelligence%20Classification%20Policy%20and%20Talent%20Acquisition%20Guidance%20-%20The%20AI%20in%20Government%20Act%20of%202020.pdf,The Artificial Intelligence Classification Policy and Talent Acquisition Guidance - The AI in Government Act of 2020,2024-04-29,OPM guidance PDF,Medium,"OPM publicly states that it identified AI competencies, issued classification guidance, and completed the estimate and workforce forecast components of the AI in Government Act requirements, although not every downstream artifact is published on the same page.",No,
AIGA_105b,AI in Government Act,The OPM Director shall submit to the relevant congressional committees a comprehensive plan with a timeline to complete the requirements described in section 105(a).,OPM Director,Not later than 120 days after enactment,Not implemented,Not implemented,Yes,Unable to verify,Changed,https://www.opm.gov/chcoc/transmittals/2024/The%20Artificial%20Intelligence%20Classification%20Policy%20and%20Talent%20Acquisition%20Guidance%20-%20The%20AI%20in%20Government%20Act%20of%202020.pdf,The Artificial Intelligence Classification Policy and Talent Acquisition Guidance - The AI in Government Act of 2020,2024-04-29,OPM guidance PDF,Low,"Public OPM materials show substantial progress on the broader AI workforce mandate, but this pass did not locate a public copy of the specific comprehensive plan to Congress required by section 105(b).",No,
