requirement_id,url,source_title,date_checked,result,notes
AIGA_105b,https://www.opm.gov/chcoc/published-memos/,OPM Published Memos,2026-07-28,No evidence,The current published-memos index does not surface a public copy of the specific comprehensive plan to Congress required by section 105(b).
AIGA_105b,https://www.opm.gov/chcoc/transmittals/2024/The%20Artificial%20Intelligence%20Classification%20Policy%20and%20Talent%20Acquisition%20Guidance%20-%20The%20AI%20in%20Government%20Act%20of%202020.pdf,The Artificial Intelligence Classification Policy and Talent Acquisition Guidance - The AI in Government Act of 2020,2026-07-28,Context only,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
AIGA_105b,https://www.opm.gov/policy-data-oversight/oversight-and-effectiveness/human-capital-reviews/fy-2024-human-capital-reviews/artificial-intelligence/,Artificial Intelligence - FY 2024 Human Capital Reviews - OPM,2026-07-28,Context only,OPM AI oversight materials confirm ongoing workforce implementation activity but not the specific congressional plan artifact.
EO13859_2a_e,https://www.ai.gov/,AI.Gov | President Trump's AI Strategy and Action Plan,2026-07-28,Context only,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13859_2a_e,https://www.gsa.gov/artificial-intelligence,Artificial intelligence - GSA,2026-07-28,Context only,The agency AI hub shows active federal AI work but does not verify the government-wide strategic-objectives clause.
EO13859_2a_e,https://www.nitrd.gov/coordination-areas/ai/,Artificial Intelligence Research and Development - NITRD.gov,2026-07-28,Context only,"Federal AI R&D coordination exists, but the page does not verify completion of the full strategic-objectives bundle."
EO13859_2a_e,https://www.opm.gov/chcoc/latest-memos/building-the-ai-workforce-of-the-future.pdf,Building the AI Workforce of the Future - OPM,2026-07-28,Context only,Workforce activity is relevant context but not direct evidence that agencies satisfied the full strategic-objectives requirement.
EO13859_4a,https://www.nitrd.gov/coordination-areas/ai/,Artificial Intelligence Research and Development - NITRD Program,2026-07-28,Supports,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13859_4a,https://www.nitrd.gov/pubs/AI-Research-and-Development-Progress-Report-2020-2024.pdf,2020-2024 Progress Report: Advancing Trustworthy Artificial Intelligence Research and Development,2026-07-28,Context only,Supports the broader NITRD investment and coordination context behind the ongoing AI R&D priority rows.
EO13859_4b_i,https://www.nitrd.gov/coordination-areas/ai/,Artificial Intelligence Research and Development - NITRD Program,2026-07-28,Supports,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13859_4b_i,https://www.nitrd.gov/pubs/AI-Research-and-Development-Progress-Report-2020-2024.pdf,2020-2024 Progress Report: Advancing Trustworthy Artificial Intelligence Research and Development,2026-07-28,Context only,Supports the broader NITRD investment and coordination context behind the ongoing AI R&D priority rows.
EO13859_4b_ii,https://www.nitrd.gov/coordination-areas/ai/,Artificial Intelligence Research and Development - NITRD Program,2026-07-28,Supports,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13859_4b_ii,https://www.nitrd.gov/pubs/AI-Research-and-Development-Progress-Report-2020-2024.pdf,2020-2024 Progress Report: Advancing Trustworthy Artificial Intelligence Research and Development,2026-07-28,Context only,Supports the broader NITRD investment and coordination context behind the ongoing AI R&D priority rows.
EO13859_4c,https://resources.data.gov,resources.data.gov,2026-07-28,Context only,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13859_4c,https://www.gsa.gov/artificial-intelligence/ai-community-of-practice,AI Community of Practice | GSA,2026-07-28,Context only,"Cross-sector participation exists, but this page does not directly document the collaboration obligation in the requirement text."
EO13859_4c,https://www.nitrd.gov/coordination-areas/ai/,Artificial Intelligence Research and Development - NITRD.gov,2026-07-28,Context only,Current interagency coordination does not directly verify the required non-federal collaboration exploration by covered agencies.
EO13859_5a,https://resources.data.gov,resources.data.gov,2026-07-28,Context only,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13859_5a,https://resources.data.gov/resources/dcat-us-priorities/,"Improving Discoverability, Usability and Governance of Priority Data and Models in AI Research and Development",2026-07-28,Context only,"Metadata and inventory guidance is relevant context, but it does not directly verify completion of the specific agency review obligations in these rows."
EO13859_5a,https://www.ai.gov/,AI.Gov | President Trump's AI Strategy and Action Plan,2026-07-28,Context only,"Current national AI strategy language is relevant context, but it does not directly verify the original data-and-model access implementation tasks."
EO13859_5a,https://www.nitrd.gov/coordination-areas/ai/,Artificial Intelligence Research and Development - NITRD.gov,2026-07-28,Context only,"Federal AI R&D coordination is relevant context, but it does not directly verify these agency-by-agency data-and-model access actions."
EO13859_5a_i_barriers,https://strategy.data.gov/assets/docs/2020-federal-data-strategy-action-plan.pdf,Federal Data Strategy 2020 Action Plan,2026-07-28,Context only,Tracking and action-plan materials reinforce the completion context around the RFI and barrier-investigation workflow.
EO13859_5a_i_barriers,https://www.federalregister.gov/documents/2019/07/10/2019-14618/identifying-priority-access-or-quality-improvements-for-federal-data-and-models-for-artificial,Identifying Priority Access or Quality Improvements for Federal Data and Models for Artificial Intelligence Research and Development and Testing,2026-07-28,Supports,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13859_5a_i_rfi,https://strategy.data.gov/assets/docs/2020-federal-data-strategy-action-plan.pdf,Federal Data Strategy 2020 Action Plan,2026-07-28,Context only,Tracking and action-plan materials reinforce the completion context around the RFI and barrier-investigation workflow.
EO13859_5a_i_rfi,https://www.federalregister.gov/documents/2019/07/10/2019-14618/identifying-priority-access-or-quality-improvements-for-federal-data-and-models-for-artificial,Identifying Priority Access or Quality Improvements for Federal Data and Models for Artificial Intelligence Research and Development and Testing,2026-07-28,Supports,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13859_5a_ii,https://resources.data.gov,resources.data.gov,2026-07-28,Context only,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13859_5a_ii,https://resources.data.gov/resources/dcat-us-priorities/,"Improving Discoverability, Usability and Governance of Priority Data and Models in AI Research and Development",2026-07-28,Context only,"Metadata and inventory guidance is relevant context, but it does not directly verify completion of the specific agency review obligations in these rows."
EO13859_5a_ii,https://www.ai.gov/,AI.Gov | President Trump's AI Strategy and Action Plan,2026-07-28,Context only,"Current national AI strategy language is relevant context, but it does not directly verify the original data-and-model access implementation tasks."
EO13859_5a_ii,https://www.nitrd.gov/coordination-areas/ai/,Artificial Intelligence Research and Development - NITRD.gov,2026-07-28,Context only,"Federal AI R&D coordination is relevant context, but it does not directly verify these agency-by-agency data-and-model access actions."
EO13859_5a_iii,https://resources.data.gov,resources.data.gov,2026-07-28,Context only,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13859_5a_iii,https://resources.data.gov/resources/dcat-us-priorities/,"Improving Discoverability, Usability and Governance of Priority Data and Models in AI Research and Development",2026-07-28,Context only,"Metadata and inventory guidance is relevant context, but it does not directly verify completion of the specific agency review obligations in these rows."
EO13859_5a_iii,https://www.ai.gov/,AI.Gov | President Trump's AI Strategy and Action Plan,2026-07-28,Context only,"Current national AI strategy language is relevant context, but it does not directly verify the original data-and-model access implementation tasks."
EO13859_5a_iii,https://www.nitrd.gov/coordination-areas/ai/,Artificial Intelligence Research and Development - NITRD.gov,2026-07-28,Context only,"Federal AI R&D coordination is relevant context, but it does not directly verify these agency-by-agency data-and-model access actions."
EO13859_5a_iv,https://resources.data.gov,resources.data.gov,2026-07-28,Context only,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13859_5a_iv,https://resources.data.gov/resources/dcat-us-priorities/,"Improving Discoverability, Usability and Governance of Priority Data and Models in AI Research and Development",2026-07-28,Context only,"Metadata and inventory guidance is relevant context, but it does not directly verify completion of the specific agency review obligations in these rows."
EO13859_5a_iv,https://www.ai.gov/,AI.Gov | President Trump's AI Strategy and Action Plan,2026-07-28,Context only,"Current national AI strategy language is relevant context, but it does not directly verify the original data-and-model access implementation tasks."
EO13859_5a_iv,https://www.nitrd.gov/coordination-areas/ai/,Artificial Intelligence Research and Development - NITRD.gov,2026-07-28,Context only,"Federal AI R&D coordination is relevant context, but it does not directly verify these agency-by-agency data-and-model access actions."
EO13859_5a_v,https://resources.data.gov,resources.data.gov,2026-07-28,Context only,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13859_5a_v,https://resources.data.gov/resources/dcat-us-priorities/,"Improving Discoverability, Usability and Governance of Priority Data and Models in AI Research and Development",2026-07-28,Context only,"Metadata and inventory guidance is relevant context, but it does not directly verify completion of the specific agency review obligations in these rows."
EO13859_5a_v,https://www.ai.gov/,AI.Gov | President Trump's AI Strategy and Action Plan,2026-07-28,Context only,"Current national AI strategy language is relevant context, but it does not directly verify the original data-and-model access implementation tasks."
EO13859_5a_v,https://www.nitrd.gov/coordination-areas/ai/,Artificial Intelligence Research and Development - NITRD.gov,2026-07-28,Context only,"Federal AI R&D coordination is relevant context, but it does not directly verify these agency-by-agency data-and-model access actions."
EO13859_5b,https://www.nitrd.gov/coordination-areas/ai/,Artificial Intelligence Research and Development - NITRD Program,2026-07-28,Context only,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13859_5b,https://www.nitrd.gov/pubs/AI-Research-and-Development-Progress-Report-2020-2024.pdf,2020-2024 Progress Report: Advancing Trustworthy Artificial Intelligence Research and Development,2026-07-28,Context only,Federal AI R&D investment reporting provides related context but not requirement-specific proof of high-performance computing allocation decisions.
EO13859_5b,https://www.nitrd.gov/recommendations-for-leveraging-cloud-computing-resources-for-federally-funded-artificial-intelligence-research-and-development/,Recommendations for Leveraging Cloud Computing Resources for Federally Funded Artificial Intelligence Research and Development,2026-07-28,Context only,"The report shows progress on computing access, but it does not directly verify that every named agency prioritized high-performance computing allocations for AI."
EO13859_5c,https://www.nitrd.gov/coordination-areas/ai/,Artificial Intelligence Research and Development - NITRD.gov,2026-07-28,Context only,NITRD program materials provide contextual confirmation that the cloud-computing recommendations report sits within the federal AI R&D coordination workflow.
EO13859_5c,https://www.nitrd.gov/recommendations-for-leveraging-cloud-computing-resources-for-federally-funded-artificial-intelligence-research-and-development/,Recommendations for Leveraging Cloud Computing Resources for Federally Funded Artificial Intelligence Research and Development,2026-07-28,Supports,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13859_5d,https://resources.data.gov,resources.data.gov,2026-07-28,Context only,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13859_5d,https://www.gsa.gov/artificial-intelligence/ai-community-of-practice,AI Community of Practice | GSA,2026-07-28,Context only,Cross-agency coordination infrastructure is relevant context but not direct proof of the specific advisory obligation in this row.
EO13859_5d,https://www.nitrd.gov/coordination-areas/ai/,Artificial Intelligence Research and Development - NITRD.gov,2026-07-28,Context only,"Interagency AI coordination exists, but the page does not directly verify the specific technical-expertise support obligation to the American Technology Council."
EO13859_6a_b,https://www.federalregister.gov/documents/2020/01/13/2020-00261/request-for-comments-on-a-draft-memorandum-to-the-heads-of-executive-departments-and-agencies,"Request for Comments on a Draft Memorandum to the Heads of Executive Departments and Agencies, Guidance for Regulation of Artificial Intelligence Applications",2026-07-28,Context only,The draft-for-comment notice provides direct context for the issuance path that ended in M-21-06.
EO13859_6a_b,https://www.whitehouse.gov/wp-content/uploads/2020/11/M-21-06.pdf,OMB Memorandum M-21-06: Guidance for Regulation of Artificial Intelligence Applications,2026-07-28,Supports,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13859_6c,https://www.ai.gov/,AI.Gov | President Trump's AI Strategy and Action Plan,2026-07-28,No evidence,Current White House AI strategy materials do not surface a public record of the row-specific regulatory-authority submissions.
EO13859_6c,https://www.federalregister.gov/documents/2020/01/13/2020-00261/request-for-comments-on-a-draft-memorandum-to-the-heads-of-executive-departments-and-agencies,"Request for Comments on a Draft Memorandum to the Heads of Executive Departments and Agencies, Guidance for Regulation of Artificial Intelligence Applications",2026-07-28,Context only,The draft memo notice confirms the rulemaking path but does not prove the downstream agency submission requirement was completed.
EO13859_6c,https://www.whitehouse.gov/wp-content/uploads/2020/11/M-21-06.pdf,OMB Memorandum M-21-06: Guidance for Regulation of Artificial Intelligence Applications,2026-07-28,Context only,"The underlying regulatory memo exists, but this artifact does not prove agencies submitted the required review-and-plan materials to OMB."
EO13859_6c,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,"OMB Memorandum M-25-21: Accelerating Federal Use of AI through Innovation, Governance, and Public Trust",2026-07-28,Context only,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13859_6d,https://www.nist.gov/artificial-intelligence/plan-federal-engagement-developing-ai-technical-standards-and-related-tools,A Plan for Federal Engagement in Developing AI Technical Standards and Related Tools in response to Executive Order (EO 13859),2026-07-28,Supports,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13859_6d,https://www.nist.gov/document/report-plan-federal-engagement-developing-technical-standards-and-related-tools,A Plan for Federal Engagement in Developing AI Technical Standards and Related Tools (PDF),2026-07-28,Supports,The direct PDF artifact supports the NIST standards-plan completion judgment.
EO13859_7a_i_ii,https://coe.gsa.gov/communities/AITraining.html,AI Training Series for Government Employees | GSA,2026-07-28,Context only,"Training initiatives show education activity, not the row-specific annual reporting obligation."
EO13859_7a_i_ii,https://www.ai.gov/,AI.Gov | President Trump's AI Strategy and Action Plan,2026-07-28,Context only,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13859_7a_i_ii,https://www.opm.gov/chcoc/latest-memos/building-the-ai-workforce-of-the-future.pdf,Building the AI Workforce of the Future - OPM,2026-07-28,Context only,Current federal AI workforce activity is relevant context but does not directly verify the required annual communications from covered grantmaking agencies.
EO13859_7b,https://resources.data.gov,resources.data.gov,2026-07-28,Context only,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13859_7b,https://resources.data.gov/assets/documents/fds-data-skills-catalog.pdf,Curated Data Skills Catalog,2026-07-28,Context only,Federal data-skills materials provide related context but not direct verification of the row-specific NSTC actions.
EO13859_7b,https://www.opm.gov/chcoc/latest-memos/building-the-ai-workforce-of-the-future.pdf,Building the AI Workforce of the Future - OPM,2026-07-28,Context only,Current AI workforce activity is relevant context but does not directly verify the specific NSTC recommendation and advisory obligations in these rows.
EO13859_7c,https://resources.data.gov,resources.data.gov,2026-07-28,Context only,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13859_7c,https://resources.data.gov/assets/documents/fds-data-skills-catalog.pdf,Curated Data Skills Catalog,2026-07-28,Context only,Federal data-skills materials provide related context but not direct verification of the row-specific NSTC actions.
EO13859_7c,https://www.opm.gov/chcoc/latest-memos/building-the-ai-workforce-of-the-future.pdf,Building the AI Workforce of the Future - OPM,2026-07-28,Context only,Current AI workforce activity is relevant context but does not directly verify the specific NSTC recommendation and advisory obligations in these rows.
EO13859_8a_b,https://www.ai.gov/,AI.Gov | President Trump's AI Strategy and Action Plan,2026-07-28,Context only,Current national AI strategy materials do not reveal the historical status of the original national-security action-plan requirement.
EO13859_8a_b,https://www.govinfo.gov/app/details/DCPD-202500170,Executive Order 14179 - Removing Barriers to American Leadership in Artificial Intelligence,2026-07-28,Context only,"A newer AI executive order exists, but it does not by itself verify whether the earlier national-security action plan was completed or formally absorbed."
EO13859_8a_b,https://www.whitehouse.gov/fact-sheets/2026/06/fact-sheet-president-donald-j-trump-signs-historic-directive-on-ai-in-the-national-security-enterprise/,Fact Sheet: President Donald J. Trump Signs Historic Directive on AI in the National Security Enterprise,2026-07-28,Context only,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13859_8c,https://www.ai.gov/,AI.Gov | President Trump's AI Strategy and Action Plan,2026-07-28,Context only,Current national AI strategy materials do not reveal the historical status of the original national-security action-plan requirement.
EO13859_8c,https://www.govinfo.gov/app/details/DCPD-202500170,Executive Order 14179 - Removing Barriers to American Leadership in Artificial Intelligence,2026-07-28,Context only,"A newer AI executive order exists, but it does not by itself verify whether the earlier national-security action plan was completed or formally absorbed."
EO13859_8c,https://www.whitehouse.gov/fact-sheets/2026/06/fact-sheet-president-donald-j-trump-signs-historic-directive-on-ai-in-the-national-security-enterprise/,Fact Sheet: President Donald J. Trump Signs Historic Directive on AI in the National Security Enterprise,2026-07-28,Context only,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13960_2b,https://www.ai.gov/,AI.Gov | President Trump's AI Strategy and Action Plan,2026-07-28,Context only,Current federal AI strategy materials provide contextual support for continuing governance and public-trust expectations.
EO13960_2b,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,"OMB Memorandum M-25-21: Accelerating Federal Use of AI through Innovation, Governance, and Public Trust",2026-07-28,Partial support,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13960_4a,https://www.ai.gov/,AI.Gov | President Trump's AI Strategy and Action Plan,2026-07-28,Context only,Current federal AI strategy materials provide contextual support for continuing governance and public-trust expectations.
EO13960_4a,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,"OMB Memorandum M-25-21: Accelerating Federal Use of AI through Innovation, Governance, and Public Trust",2026-07-28,Partial support,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13960_4b,https://www.ai.gov/ai-use-case-inventories/,AI Use Case Inventories | AI.Gov,2026-07-28,Dead link,The likely current AI.Gov inventory landing page now resolves to a 404 and does not supply a public roadmap artifact.
EO13960_4b,https://www.cio.gov/,About CIOC - Councils.gov,2026-07-28,No evidence,The CIO Council home page does not surface the specific roadmap deliverable required by this row.
EO13960_4b,https://www.cio.gov/policies-and-priorities/Executive-Order-13960-AI-Use-Case-Inventories-Reference/,Executive Order 13960 AI Use Case Inventories Reference,2026-07-28,Dead link,The likely historical CIO Council reference location now resolves to a 404 and does not provide the roadmap artifact required by the row.
EO13960_4b,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,"OMB Memorandum M-25-21: Accelerating Federal Use of AI through Innovation, Governance, and Public Trust",2026-07-28,Context only,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13960_4c,https://www.gsa.gov/artificial-intelligence/resources/ai-governance,AI governance - GSA,2026-07-28,Context only,"Current agency governance guidance references AI oversight, but it does not directly verify government-wide use of voluntary consensus standards in the specific EO 13960 sense."
EO13960_4c,https://www.nist.gov/artificial-intelligence/plan-federal-engagement-developing-ai-technical-standards-and-related-tools,A Plan for Federal Engagement in Developing AI Technical Standards and Related Tools in response to Executive Order (EO 13859),2026-07-28,Context only,"Technical standards work remains visible, but the page does not directly verify the government-wide practice required in this EO 13960 row."
EO13960_4c,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,"OMB Memorandum M-25-21: Accelerating Federal Use of AI through Innovation, Governance, and Public Trust",2026-07-28,Context only,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13960_5a,https://www.ai.gov/ai-use-case-inventories/,AI Use Case Inventories | AI.Gov,2026-07-28,Dead link,The likely current AI.Gov inventory landing page resolves to a 404 and does not expose the older guidance artifact.
EO13960_5a,https://www.cio.gov/assets/resources/2021%20Guidance%20for%20Creating%20Agency%20Inventories%20of%20AI%20Use%20Cases%2010.06.2021.docx,2021 Guidance for Creating Agency Inventories of AI Use Cases,2026-07-28,Dead link,The likely historical inventory guidance document now resolves to a 404 and cannot be reviewed as a current public artifact.
EO13960_5a,https://www.cio.gov/policies-and-priorities/Executive-Order-13960-AI-Use-Case-Inventories-Reference/,Executive Order 13960 AI Use Case Inventories Reference,2026-07-28,Dead link,The likely historical CIO Council inventory reference page is no longer publicly available.
EO13960_5a,https://www.epa.gov/data/ai-use-case-inventory,AI Use Case Inventory | US EPA,2026-07-28,Context only,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13960_5b,https://www.epa.gov/data/ai-use-case-inventory,AI Use Case Inventory | US EPA,2026-07-28,Partial support,A second agency inventory page supports the partial government-wide inventory judgment without proving universal coverage.
EO13960_5b,https://www.justice.gov/ai/ai-inventory,Department of Justice | AI Inventory,2026-07-28,Partial support,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13960_5c,https://www.epa.gov/data/ai-use-case-inventory,AI Use Case Inventory | US EPA,2026-07-28,Partial support,A second agency inventory page supports the partial government-wide inventory judgment without proving universal coverage.
EO13960_5c,https://www.justice.gov/ai/ai-inventory,Department of Justice | AI Inventory,2026-07-28,Partial support,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13960_5c_i,https://www.justice.gov/ai/ai-inventory,AI Inventory - Department of Justice,2026-07-28,Context only,"The public inventory confirms governance activity but does not directly verify completion of the specific plan, implementation, or sharing obligations in these rows."
EO13960_5c_i,https://www.justice.gov/d9/fieldable-panel-panes/basic-panes/attachments/2022/06/09/doj_it_strategic_plan_2022-2024.pdf,DOJ IT Strategic Plan 2022-2024,2026-07-28,Context only,"The DOJ strategic plan confirms inventory work exists, but it does not directly prove government-wide completion of the row-specific deliverables."
EO13960_5c_i,https://www.justice.gov/media/1373026/dl,Department of Justice Compliance Plan for OMB Memorandum M-24-10,2026-07-28,Context only,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13960_5c_ii,https://www.justice.gov/ai/ai-inventory,AI Inventory - Department of Justice,2026-07-28,Context only,"The public inventory confirms governance activity but does not directly verify completion of the specific plan, implementation, or sharing obligations in these rows."
EO13960_5c_ii,https://www.justice.gov/d9/fieldable-panel-panes/basic-panes/attachments/2022/06/09/doj_it_strategic_plan_2022-2024.pdf,DOJ IT Strategic Plan 2022-2024,2026-07-28,Context only,"The DOJ strategic plan confirms inventory work exists, but it does not directly prove government-wide completion of the row-specific deliverables."
EO13960_5c_ii,https://www.justice.gov/media/1373026/dl,Department of Justice Compliance Plan for OMB Memorandum M-24-10,2026-07-28,Context only,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13960_5d,https://www.justice.gov/ai/ai-inventory,AI Inventory - Department of Justice,2026-07-28,Context only,"The public inventory confirms governance activity but does not directly verify completion of the specific plan, implementation, or sharing obligations in these rows."
EO13960_5d,https://www.justice.gov/d9/fieldable-panel-panes/basic-panes/attachments/2022/06/09/doj_it_strategic_plan_2022-2024.pdf,DOJ IT Strategic Plan 2022-2024,2026-07-28,Context only,"The DOJ strategic plan confirms inventory work exists, but it does not directly prove government-wide completion of the row-specific deliverables."
EO13960_5d,https://www.justice.gov/media/1373026/dl,Department of Justice Compliance Plan for OMB Memorandum M-24-10,2026-07-28,Context only,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13960_5e,https://www.epa.gov/data/ai-use-case-inventory,AI Use Case Inventory | US EPA,2026-07-28,Partial support,A second agency inventory page supports the partial government-wide inventory judgment without proving universal coverage.
EO13960_5e,https://www.justice.gov/ai/ai-inventory,Department of Justice | AI Inventory,2026-07-28,Partial support,"Cited source from the committed July 24, 2026 update; re-reviewed during the evidence-quality confidence pass."
EO13960_6_cio_list,https://www.cio.gov/,About CIOC - Councils.gov,2026-07-28,No evidence,The CIO Council home page does not surface the specific published list of recommended interagency bodies required by this row.
EO13960_6_cio_list,https://www.cio.gov/assets/resources/2021%20Guidance%20for%20Creating%20Agency%20Inventories%20of%20AI%20Use%20Cases%2010.06.2021.docx,2021 Guidance for Creating Agency Inventories of AI Use Cases,2026-07-28,Dead link,The likely historical inventory-guidance document now resolves to a 404 and does not expose the required list.
EO13960_6_cio_list,https://www.cio.gov/policies-and-priorities/Executive-Order-13960-AI-Use-Case-Inventories-Reference/,Executive Order 13960 AI Use Case Inventories Reference,2026-07-28,Dead link,The likely historical reference page now resolves to a 404 and does not provide the required list.
